level	epoch	running	waiting	kv_usage	gpu_mem_mib	gpu_util
4	1790198605				37891	0
4	1790198609				37891	0
4	1790198612				37891	0
4	1790198614				37891	0
4	1790198616				37891	0
4	1790198618				37891	0
4	1790198620				37891	0
4	1790198623				37891	0
4	1790198625	1	0	0.000977708251857612	38369	95
4	1790198627	1	0	0.0013687915526007233	38887	100
4	1790198629	2	0	0.0029331247555729467	38887	100
4	1790198631	1	0	0.002150958154086835	38887	83
4	1790198633	3	0	0.01349237387563551	40767	100
4	1790198635	2	0	0.011341415721548675	40767	100
4	1790198637	3	0	0.019945248337896015	43087	100
4	1790198639	3	0	0.015838873680093846	43087	99
4	1790198641	1	0	0.001955416503715335	43087	98
4	1790198643	3	0	0.007430582714118117	43087	100
4	1790198645	3	0	0.006452874462260505	43087	100
4	1790198647	3	0	0.0058662495111458934	43087	100
4	1790198650	0	0	0.0	43087	0
4	1790198652	1	0	0.002150958154086835	43087	99
4	1790198654	2	0	0.006061791161517394	43087	100
4	1790198656	3	0	0.012123582323034787	44431	100
4	1790198658	2	0	0.010559249120062564	44431	96
4	1790198660	1	0	0.00899491591709034	44431	100
4	1790198662	4	0	0.019749706687524404	44431	100
4	1790198664	3	0	0.006452874462260505	44431	100
4	1790198666	2	0	0.002346499804458335	44431	97
4	1790198668	2	0	0.0035197497066875583	44431	100
4	1790198670	1	0	0.001173249902229223	44431	100
4	1790198672	0	0	0.0	44431	100
4	1790198674	2	0	0.00469299960891667	44431	100
4	1790198677	3	0	0.005670707860774393	44431	100
4	1790198679	2	0	0.0025420414548298353	44431	100
4	1790198681	3	0	0.011145874071177175	44431	100
4	1790198683	2	0	0.003128666405944447	44431	100
4	1790198685	3	0	0.006452874462260505	44431	94
4	1790198687	4	0	0.007626124364489617	44431	100
4	1790198689	3	0	0.005084082909659782	44431	80
4	1790198691	1	0	0.0017598748533437236	44431	100
