level	epoch	running	waiting	kv_usage	gpu_mem_mib	gpu_util
16	1790199130				37891	0
16	1790199132				37891	0
16	1790199134				37891	0
16	1790199137				37891	0
16	1790199139				37891	0
16	1790199142				37891	0
16	1790199145				37891	0
16	1790199147				37891	0
16	1790199150				37891	0
16	1790199152	2	0	0.0025420414548298353	38449	57
16	1790199155	7	0	0.010950332420805675	39111	97
16	1790199157	4	0	0.006648416112632005	40069	22
16	1790199159	4	0	0.014078998826750122	41185	81
16	1790199161	5	0	0.016621040281579957	42029	84
16	1790199163	10	0	0.029917872506843968	43845	100
16	1790199165	8	0	0.02639812280015641	43845	100
16	1790199167	5	0	0.015838873680093846	43845	73
16	1790199169	7	0	0.020922956589753627	43845	100
16	1790199171	7	0	0.024247164646069574	45169	100
16	1790199174	1	0	0.0025420414548298353	45169	49
16	1790199176	10	0	0.025029331247555686	41041	100
16	1790199178	15	0	0.03871724677356281	41041	100
16	1790199180	11	0	0.025615956198670298	41051	60
16	1790199182	8	0	0.023464998044583463	41051	92
16	1790199184	3	0	0.015056707078607734	41051	96
16	1790199186	9	0	0.03089558075870158	41051	94
16	1790199188	9	0	0.024638247946812686	41051	100
