level	epoch	running	waiting	kv_usage	gpu_mem_mib	gpu_util
1	1790197880				37891	0
1	1790197883				37891	0
1	1790197885				37891	0
1	1790197887				37891	0
1	1790197889				37891	0
1	1790197891				37891	0
1	1790197893				37891	0
1	1790197895				37891	0
1	1790197897				37891	0
1	1790197899	0	0	0.0	38695	0
1	1790197901	0	0	0.0	38695	0
1	1790197903	0	0	0.0	38695	0
1	1790197906	0	0	0.0	38695	0
1	1790197908	0	0	0.0	38695	0
1	1790197910	0	0	0.0	38695	0
1	1790197912	0	0	0.0	38695	0
1	1790197914	0	0	0.0	38695	0
1	1790197916	0	0	0.0	38703	65
1	1790197918	0	0	0.0	38703	0
1	1790197920	0	0	0.0	38703	0
1	1790197922	0	0	0.0	38703	0
1	1790197925	0	0	0.0	38703	0
1	1790197927	0	0	0.0	38703	0
1	1790197929	0	0	0.0	42269	74
1	1790197931	1	0	0.0013687915526007233	42269	100
1	1790197933	0	0	0.0	42269	0
1	1790197935	0	0	0.0	42269	100
1	1790197937	1	0	0.005670707860774393	42269	100
1	1790197939	1	0	0.0017598748533437236	42269	100
1	1790197941	1	0	0.001173249902229223	42269	100
1	1790197943	1	0	0.002150958154086835	42269	100
1	1790197945	0	0	0.0	42269	0
1	1790197947	1	0	0.005670707860774393	42269	100
1	1790197949	1	0	0.005670707860774393	42269	100
1	1790197951	0	0	0.0	42269	11
1	1790197953	0	0	0.0	42269	0
1	1790197955	1	0	0.008408290965975729	42269	100
1	1790197957	1	0	0.0015643332029722234	42269	100
1	1790197959	1	0	0.0017598748533437236	42269	100
1	1790197961	0	0	0.0	42269	0
1	1790197963	1	0	0.00430191630817367	42269	100
1	1790197965	1	0	0.002150958154086835	42269	100
1	1790197967	0	0	0.0	42269	0
1	1790197970	0	0	0.0	42269	0
1	1790197972	1	0	0.004106374657802059	42269	100
1	1790197974	1	0	0.004106374657802059	42269	100
1	1790197976	1	0	0.001173249902229223	42269	100
1	1790197978	1	0	0.0013687915526007233	42269	100
1	1790197980	1	0	0.0029331247555729467	42269	100
1	1790197982	0	0	0.0	42269	9
1	1790197984	0	0	0.0	42269	0
1	1790197986	1	0	0.0058662495111458934	42269	100
1	1790197988	1	0	0.002150958154086835	42269	100
1	1790197990	1	0	0.002150958154086835	42269	100
1	1790197992	0	0	0.0	42269	0
1	1790197994	0	0	0.0	42269	0
1	1790197996	1	0	0.00879937426671884	43949	100
1	1790197998	1	0	0.00899491591709034	43949	100
1	1790198000	1	0	0.00899491591709034	43949	100
1	1790198002	0	0	0.0	43949	0
1	1790198004	0	0	0.0	43949	100
1	1790198006	1	0	0.000977708251857612	43949	100
1	1790198008	1	0	0.0027375831052014465	43949	100
1	1790198011	1	0	0.0013687915526007233	43949	100
1	1790198013	1	0	0.0015643332029722234	43949	100
1	1790198015	0	0	0.0	43949	0
1	1790198017	1	0	0.004106374657802059	43949	100
1	1790198019	1	0	0.00430191630817367	43949	100
1	1790198021	0	0	0.0	43949	0
1	1790198023	0	0	0.0	43949	100
1	1790198025	1	0	0.000977708251857612	43949	100
1	1790198027	1	0	0.001173249902229223	43949	100
1	1790198029	0	0	0.0	43949	0
1	1790198031	1	0	0.000977708251857612	43949	100
1	1790198033	1	0	0.0025420414548298353	43949	100
1	1790198035	0	0	0.0	43949	0
1	1790198037	0	0	0.0	43949	0
1	1790198039	1	0	0.003128666405944447	43949	100
1	1790198041	0	0	0.0	43949	0
1	1790198043	1	0	0.0029331247555729467	43949	100
1	1790198045	1	0	0.003128666405944447	43949	100
1	1790198047	0	0	0.0	43949	0
1	1790198049	1	0	0.001173249902229223	43949	100
1	1790198051	1	0	0.0015643332029722234	43949	100
1	1790198054	0	0	0.0	43949	10
1	1790198056	1	0	0.001173249902229223	43949	100
1	1790198058	1	0	0.001173249902229223	43949	100
1	1790198060	0	0	0.0	43949	0
1	1790198062	0	0	0.0	43949	0
1	1790198064	0	0	0.0	43949	100
1	1790198066	1	0	0.0013687915526007233	43949	100
1	1790198068	1	0	0.001173249902229223	43949	100
1	1790198070	0	0	0.0	43949	40
1	1790198072	0	0	0.0	43949	0
1	1790198074	1	0	0.002150958154086835	43949	100
1	1790198076	1	0	0.0037152913570590584	43949	100
1	1790198078	1	0	0.001173249902229223	43949	100
1	1790198080	1	0	0.0029331247555729467	43949	100
1	1790198082	1	0	0.003128666405944447	43949	100
1	1790198084	1	0	0.0013687915526007233	43949	100
1	1790198086	1	0	0.0025420414548298353	43949	100
1	1790198088	1	0	0.0007821666014861117	43949	100
1	1790198090	1	0	0.0017598748533437236	43949	100
1	1790198092	1	0	0.0017598748533437236	43949	100
1	1790198095	1	0	0.0017598748533437236	43949	100
1	1790198097	0	0	0.0	43949	0
