1790194181	4.43GiB / 61.94GiB
1790194184	5.071GiB / 61.94GiB
1790194187	5.377GiB / 61.94GiB
1790194190	5.592GiB / 61.94GiB
1790194193	5.69GiB / 61.94GiB
1790194196	5.865GiB / 61.94GiB
1790194199	6.017GiB / 61.94GiB
1790194202	6.831GiB / 61.94GiB
1790194205	7.458GiB / 61.94GiB
1790194208	8.41GiB / 61.94GiB
1790194211	9.697GiB / 61.94GiB
1790194214	11.97GiB / 61.94GiB
1790194217	7.426GiB / 61.94GiB
1790194220	7.159GiB / 61.94GiB
1790194223	7.933GiB / 61.94GiB
1790194226	9.718GiB / 61.94GiB
1790194229	8.434GiB / 61.94GiB
1790194232	8.482GiB / 61.94GiB
1790194235	9.346GiB / 61.94GiB
1790194238	8.693GiB / 61.94GiB
1790194241	9.025GiB / 61.94GiB
1790194244	8.928GiB / 61.94GiB
1790194247	8.788GiB / 61.94GiB
