level	epoch	running	waiting	kv_usage	gpu_mem_mib	gpu_util
1	1790139852	0	0	0.0	39955	0
1	1790139854	1	0	0.002404735479097253	40623	100
1	1790139856	1	0	0.0009248982611912426	40623	100
1	1790139858	0	0	0.0	40623	0
1	1790139860	0	0	0.0	40623	0
1	1790139862	0	0	0.0	40623	0
1	1790139864	0	0	0.0	40623	0
1	1790139866	0	0	0.0	40623	0
1	1790139868	1	0	0.0009248982611912426	40623	55
1	1790139870	0	0	0.0	40623	0
1	1790139872	1	0	0.005364409914909385	42503	100
1	1790139874	1	0	0.005364409914909385	42503	100
1	1790139876	1	0	0.0016648168701443034	42503	100
1	1790139878	0	0	0.0	42503	31
1	1790139880	1	0	0.002034776174620778	42503	100
1	1790139882	0	0	0.0	42503	0
1	1790139884	1	0	0.005364409914909385	42503	100
1	1790139886	1	0	0.005364409914909385	42503	100
1	1790139888	0	0	0.0	42503	0
1	1790139890	0	0	0.0	42503	0
1	1790139892	1	0	0.0014798372179060104	42503	100
1	1790139894	1	0	0.0016648168701443034	42503	100
1	1790139897	0	0	0.0	42503	0
1	1790139899	1	0	0.004069552349241556	42503	100
1	1790139901	1	0	0.002034776174620778	42503	100
1	1790139903	0	0	0.0	42503	0
1	1790139905	0	0	0.0	42503	0
1	1790139907	1	0	0.0038845726970033745	42503	100
1	1790139909	1	0	0.0009248982611912426	42503	33
1	1790139911	1	0	0.0011098779134295356	42503	100
1	1790139913	0	0	0.0	42503	0
1	1790139915	0	0	0.0	42503	33
1	1790139917	1	0	0.0007399186089530607	42503	100
1	1790139919	0	0	0.0	42503	0
1	1790139921	0	0	0.0	43367	100
1	1790139923	1	0	0.002034776174620778	43367	100
1	1790139925	0	0	0.0	43367	50
1	1790139927	0	0	0.0	43367	0
1	1790139929	0	0	0.0	43367	0
1	1790139931	0	0	0.0	43367	100
1	1790139934	1	0	0.0009248982611912426	43367	100
1	1790139936	1	0	0.0031446540880503138	43367	100
1	1790139938	1	0	0.0012948575656678285	43367	89
1	1790139940	1	0	0.0014798372179060104	43367	100
1	1790139942	0	0	0.0	43367	0
1	1790139944	1	0	0.0038845726970033745	43367	74
1	1790139946	1	0	0.004069552349241556	43367	100
1	1790139948	0	0	0.0	43367	0
1	1790139950	1	0	0.00573436921938586	44251	100
1	1790139952	1	0	0.0009248982611912426	44251	100
1	1790139954	1	0	0.0012948575656678285	44251	100
1	1790139956	1	0	0.002219755826859071	44251	100
1	1790139958	1	0	0.0009248982611912426	44251	100
1	1790139960	1	0	0.002404735479097253	44251	100
1	1790139962	0	0	0.0	44251	0
1	1790139964	0	0	0.0	44251	0
1	1790139966	1	0	0.0007399186089530607	44251	100
1	1790139968	0	0	0.0	44251	0
1	1790139970	1	0	0.002959674435812021	44251	100
1	1790139972	1	0	0.002959674435812021	44251	100
1	1790139974	0	0	0.0	44251	100
1	1790139976	1	0	0.0011098779134295356	44251	100
1	1790139979	1	0	0.0014798372179060104	44251	100
1	1790139981	1	0	0.0007399186089530607	44251	100
1	1790139983	1	0	0.0011098779134295356	44251	100
1	1790139985	1	0	0.0012948575656678285	44251	100
1	1790139987	0	0	0.0	44251	0
1	1790139989	1	0	0.0012948575656678285	44251	100
1	1790139991	1	0	0.0009248982611912426	44251	59
1	1790139993	0	0	0.0	44251	0
1	1790139995	1	0	0.0009248982611912426	44251	100
1	1790139997	1	0	0.002034776174620778	44251	100
