1790195891	4.454GiB / 61.94GiB
1790195894	4.562GiB / 61.94GiB
1790195897	4.638GiB / 61.94GiB
1790195900	4.752GiB / 61.94GiB
1790195903	4.858GiB / 61.94GiB
1790195906	4.807GiB / 61.94GiB
1790195909	4.841GiB / 61.94GiB
1790195912	5.297GiB / 61.94GiB
1790195915	6.303GiB / 61.94GiB
1790195918	8.08GiB / 61.94GiB
1790195921	9.222GiB / 61.94GiB
1790195924	5.999GiB / 61.94GiB
1790195927	6.021GiB / 61.94GiB
1790195930	6.209GiB / 61.94GiB
1790195933	6.604GiB / 61.94GiB
1790195936	6.316GiB / 61.94GiB
1790195939	7.689GiB / 61.94GiB
1790195942	7.008GiB / 61.94GiB
1790195945	6.792GiB / 61.94GiB
1790195948	6.72GiB / 61.94GiB
1790195951	7.561GiB / 61.94GiB
1790195954	6.906GiB / 61.94GiB
1790195957	9.246GiB / 61.94GiB
1790195960	7.6GiB / 61.94GiB
1790195963	7.602GiB / 61.94GiB
1790195966	7.584GiB / 61.94GiB
1790195969	8.247GiB / 61.94GiB
1790195972	7.91GiB / 61.94GiB
1790195975	7.769GiB / 61.94GiB
1790195978	7.839GiB / 61.94GiB
1790195981	8.162GiB / 61.94GiB
1790195984	9.059GiB / 61.94GiB
1790195987	8.225GiB / 61.94GiB
1790195990	8.124GiB / 61.94GiB
1790195993	8.172GiB / 61.94GiB
1790195996	8.637GiB / 61.94GiB
1790195999	8.416GiB / 61.94GiB
1790196002	8.824GiB / 61.94GiB
1790196006	8.691GiB / 61.94GiB
1790196009	8.764GiB / 61.94GiB
1790196012	8.817GiB / 61.94GiB
1790196015	8.884GiB / 61.94GiB
