1790196461	4.452GiB / 61.94GiB
1790196464	5.075GiB / 61.94GiB
1790196467	5.336GiB / 61.94GiB
1790196470	5.557GiB / 61.94GiB
1790196473	5.724GiB / 61.94GiB
1790196476	5.822GiB / 61.94GiB
1790196479	5.947GiB / 61.94GiB
1790196482	6.518GiB / 61.94GiB
1790196485	7.637GiB / 61.94GiB
1790196488	9.302GiB / 61.94GiB
1790196491	9.636GiB / 61.94GiB
1790196494	11.91GiB / 61.94GiB
1790196497	7.897GiB / 61.94GiB
1790196500	7.394GiB / 61.94GiB
1790196503	8.813GiB / 61.94GiB
1790196506	8.899GiB / 61.94GiB
1790196509	8.712GiB / 61.94GiB
1790196512	8.888GiB / 61.94GiB
1790196515	9.803GiB / 61.94GiB
1790196518	9.794GiB / 61.94GiB
1790196521	8.986GiB / 61.94GiB
1790196524	9.471GiB / 61.94GiB
1790196527	9.644GiB / 61.94GiB
1790196530	9.887GiB / 61.94GiB
1790196533	9.506GiB / 61.94GiB
