1790198282	7.473GiB / 61.94GiB
1790198285	7.598GiB / 61.94GiB
1790198288	7.677GiB / 61.94GiB
1790198291	7.788GiB / 61.94GiB
1790198294	7.872GiB / 61.94GiB
1790198297	7.828GiB / 61.94GiB
1790198300	7.869GiB / 61.94GiB
1790198303	8.24GiB / 61.94GiB
1790198306	9.362GiB / 61.94GiB
1790198309	11.45GiB / 61.94GiB
1790198312	8.433GiB / 61.94GiB
1790198315	8.66GiB / 61.94GiB
1790198318	8.717GiB / 61.94GiB
1790198321	8.795GiB / 61.94GiB
1790198324	8.89GiB / 61.94GiB
1790198328	9.059GiB / 61.94GiB
1790198331	9.519GiB / 61.94GiB
1790198334	9.628GiB / 61.94GiB
1790198337	9.422GiB / 61.94GiB
1790198340	9.569GiB / 61.94GiB
1790198343	10.22GiB / 61.94GiB
1790198346	9.808GiB / 61.94GiB
1790198349	9.828GiB / 61.94GiB
1790198352	9.89GiB / 61.94GiB
1790198355	10.18GiB / 61.94GiB
1790198358	11.39GiB / 61.94GiB
1790198361	10.72GiB / 61.94GiB
1790198364	10.62GiB / 61.94GiB
1790198367	10.73GiB / 61.94GiB
1790198370	10.82GiB / 61.94GiB
1790198373	11.13GiB / 61.94GiB
1790198376	10.83GiB / 61.94GiB
1790198379	10.97GiB / 61.94GiB
1790198382	11.13GiB / 61.94GiB
1790198385	12.5GiB / 61.94GiB
1790198388	11.85GiB / 61.94GiB
1790198391	11.36GiB / 61.94GiB
1790198394	11.24GiB / 61.94GiB
1790198397	12.24GiB / 61.94GiB
1790198400	11.7GiB / 61.94GiB
1790198403	11.74GiB / 61.94GiB
1790198406	11.75GiB / 61.94GiB
1790198409	11.86GiB / 61.94GiB
1790198412	11.92GiB / 61.94GiB
1790198415	12.06GiB / 61.94GiB
1790198418	12.04GiB / 61.94GiB
