level	epoch	running	waiting	kv_usage	gpu_mem_mib	gpu_util
2	1790193633	0	0	0.0	39621	0
2	1790193635	0	0	0.0	39621	0
2	1790193637	0	0	0.0	39621	0
2	1790193640	0	0	0.0	39621	0
2	1790193642	0	0	0.0	39621	0
2	1790193645	0	0	0.0	39621	0
2	1790193647	0	0	0.0	39621	0
2	1790193650	0	0	0.0	39621	0
2	1790193652	1	0	0.0009248982611912426	40617	100
2	1790193654	0	0	0.0	40617	0
2	1790193656	0	0	0.0	40617	14
2	1790193658	0	0	0.0	40617	0
2	1790193660	0	0	0.0	42497	24
2	1790193662	1	0	0.005364409914909385	42497	100
2	1790193664	0	0	0.0	42497	0
2	1790193666	1	0	0.0016648168701443034	42497	100
2	1790193668	0	0	0.0	42497	0
2	1790193670	1	0	0.005364409914909385	42497	100
2	1790193672	2	0	0.006844247132815395	42497	100
2	1790193674	1	0	0.005549389567147567	42497	100
2	1790193676	1	0	0.0018497965223824853	42497	100
2	1790193678	0	0	0.0	42497	4
2	1790193680	1	0	0.002219755826859071	42497	100
2	1790193682	1	0	0.0036995930447650816	42497	100
2	1790193684	1	0	0.0038845726970033745	42497	99
2	1790193686	2	0	0.0036995930447650816	42497	55
2	1790193688	1	0	0.0009248982611912426	42497	100
2	1790193691	1	0	0.005549389567147567	43361	87
2	1790193693	1	0	0.002034776174620778	43361	100
2	1790193695	0	0	0.0	43361	0
2	1790193697	0	0	0.0	43361	0
2	1790193699	1	0	0.0009248982611912426	43361	100
2	1790193701	1	0	0.002589715131335546	43361	100
2	1790193703	1	0	0.0014798372179060104	43361	100
2	1790193705	0	0	0.0	43361	17
2	1790193707	2	0	0.009618941916389234	44245	73
2	1790193709	2	0	0.004994450610432799	44245	100
2	1790193711	1	0	0.0012948575656678285	44245	100
2	1790193713	1	0	0.0009248982611912426	44245	100
2	1790193715	1	0	0.002404735479097253	44245	100
2	1790193717	0	0	0.0	44245	6
2	1790193719	2	0	0.005179430262671092	44245	100
2	1790193721	2	0	0.005919348871624153	44245	84
2	1790193724	1	0	0.0011098779134295356	44245	100
2	1790193726	1	0	0.0014798372179060104	44245	100
2	1790193728	2	0	0.002404735479097253	44245	100
2	1790193730	0	0	0.0	44245	0
2	1790193732	2	0	0.002219755826859071	44245	100
2	1790193734	1	0	0.0009248982611912426	44245	84
2	1790193736	0	0	0.0	44245	7
2	1790193738	1	0	0.002034776174620778	44245	100
2	1790193740	2	0	0.0038845726970033745	44245	100
2	1790193742	2	0	0.004254532001479849	44245	100
2	1790193744	2	0	0.0031446540880503138	44245	100
2	1790193746	0	0	0.0	44245	0
2	1790193748	1	0	0.0016648168701443034	44245	98
2	1790193750	1	0	0.002034776174620778	44245	100
